tier,run_id,max_wse_m,delta_max_wse_m,max_velocity_mps,delta_max_velocity_mps,flood_extent_area_ha,delta_flood_extent_area_ha,max_energy_level_m,delta_max_energy_level_m
lenient,prompt_live_run_scenario_2_lenient,290.4209289550781,0.13116455078125,6.118675231933594,0.0991063117980957,79.82878319142644,1.3559357606010423,291.073974609375,0.172698974609375
average,prompt_live_run_scenario_2_average,290.5623474121094,0.2725830078125,6.261507511138916,0.24193859100341797,81.59987195635792,3.1270245255325193,291.2333679199219,0.33209228515625
conservative,prompt_live_run_scenario_2_conservative,290.7975158691406,0.50775146484375,6.39021110534668,0.37064218521118164,83.83359342292317,5.360745992097776,291.5220031738281,0.6207275390625
